分类	子分类	代码	名称	货币	股价	25涨幅	YTD	MKT_Cap_USD	TEV_USD	PE_25	PE_26	PE_27	PE_28	EV_25	EV_26	EV_27	EV_28	RevYoY_26	RevYoY_27	RevYoY_28	EBITDA_Margin_25	EBITDA_Margin_26	EBITDA_Margin_27	EBITDA_Margin_28	NP_Margin_25	NP_Margin_26	NP_Margin_27	NP_Margin_28
JP Semi Cap		TSE:6857	Advantest	JPY	29065.0	1.134703196347032	0.48026483320600977	134.61724867245283	132.6060914397484	74.19293549209166	43.18268599556282	37.131645582570556	30.708956296872312	48.47716788965682	31.82727707556874	24.67541655147319	21.978491105130928	0.36847601245442396	0.16207171304529733	0.185341368536442	0.42108616052497566	0.46867472547171984	0.5202038906382056	0.49271612306111967	0.27930768739241313	0.35066999086029893	0.3509385909470899	0.35798664612223935
JP Semi Cap		TSE:6920	Lasertec	JPY	43560.0	0.9522555153111623	0.4693877551020409	26.51714827471698	26.013833809308174	48.41840829224038	56.37133741326237	35.68625766733186	22.964197035294116	32.537500300343766	34.64799884322816	26.84243563930133	24.000924165538503	-0.07329042497617311	0.46003932299826955	0.473640052824573	0.5069287426176491	0.5136996795620157	0.4541517351930364	0.3446700258	0.3472506350516615	0.32184855830447145	0.3482124918575124	0.3672
JP Semi Cap		TSE:6146	Disco	JPY	71840.0	0.12731102270067862	0.49138467926095086	53.210582075471706	51.423104088050316	64.44707072015115	48.82864496623636	37.73202969958071	24.266406281371005	42.98703387034659	31.828090901360607	27.89625918824942	24.689492385528826	0.21666981097410165	0.22974223346688638	0.4341937514523968	0.4480167002320131	0.4973342406870506	0.4614226325125364	0.3635171251372119	0.30922045955081323	0.33544706710835165	0.3529997643734591	0.3827113062568606
JP Semi Cap		TSE:7735	SCREEN	JPY	17005.0	0.6059009483667017	1.2316272965879267	21.23967700503145	19.84870216226415	39.777955497709044	28.977185559371048	22.17189403889418	16.081469732380953	24.956851741317138	19.256588222213463	15.578902720001677	13.636515500977856	0.18824013564556097	0.23007818996061258	0.2063879293305555	0.21409379724611746	0.23351260181528244	0.23464974293833102	0.22221151204992798	0.14373655099321603	0.16605396791600693	0.1764289895701899	0.2016322611617859
JP Semi Cap		TSE:7729	Tokyo Seimitsu	JPY	17985.0	0.5094467853744733	0.6195407474110761	4.8066944267295595	4.5730906531446545	35.284598977377655	25.477135371456612	22.74111271908153	19.91881060481923	19.63428577967097	15.979791893415824	13.666299731404882	11.737651401154714	0.15000838883068934	0.08776899503083668	0.10413743273925191	0.2309266811333932	0.24672723647485117	0.26521653461196837	0.2796708464192628	0.13506435199042202	0.16265758579587508	0.16752380556177665	0.1732214641168822
JP Semi Cap		TSE:6525	Kokusai	JPY	10550.0	1.561771561771562	0.9199272065514104	16.561476507421382	16.519476507421384	80.35871600231926	60.14056685689315	35.18225835272902	21.584219382622948	45.26585952297246	38.39941470541797	26.12588857453348	21.598034494211905	0.21901659868703804	0.3418971719909596	0.396127591860548	0.24449912778203822	0.23643614051597753	0.25896922575374837	0.2243778012915129	0.13807589560351585	0.15134696670649558	0.1927961190750186	0.22509225092250923
JP Semi Cap		TSE:6925	Ushio	JPY	4433.0	0.176056338028169	0.7696606786427145	2.2417422055345915	2.220616419371069	70.08199187573733	30.42569446692275	25.791390063675838	20.633112050940667		14.667428706498145	12.675001505227733		0.11957113065554448	0.13178514304225475	0.020376788908765597	0.0	0.12184532607155149	0.12458072450805009	0.0	0.028821742678393325	0.05929724038792492	0.06180679785330948	0.07571565538967265
JP Semi Cap		TSE:7731	Nikon	JPY	2185.5	0.06373894480024389	0.2531536697247707	4.636766814465409	5.035081279874214	-8.439653408505524	235.63764955282778	38.35551970715939	23.183834072327045	22.19327262772711	18.894158183393895	12.699292099001305	10.623215102030848	0.03918772741441634	0.00846802087546572	0.06439974735458742	0.052544565214224744	0.05939195139518172	0.08762206784542144	0.09840842308696789	-0.12724282688682956	0.0043855011537810235	0.02671615220006157	0.041525202402716115
CN Semi Cap		ACMR	ACM Research	USD	98.52	1.6675514266755145	1.450746268656716	6.80866666	6.38252166	72.3725702077	47.741501575637834	33.349813914699645	22.933393167191646	50.752814236980846	34.50588049571523	23.33119777594581	16.64764679366498	0.2832222800393651	0.2582150082356185	0.30490384638180434	0.13952706563453823	0.15992766050321525	0.18798569473106946	0.20189728208369465	0.10437929722215135	0.12330775726247128	0.14029370900830151	0.1563452834258399
RoW Semi Cap		AMAT	Applied Materials	USD	592.79	0.5886702517721831	1.2802246413047658	470.65121051	469.67821051	60.039700281923714	41.006407526354096	33.1761435395694	29.146050505736707	52.83813820564743	37.10078610631248	28.823732166881726	25.91004900707391	0.27831652371163274	0.23502770820983887	0.37036079111904163	0.3150563550010633	0.35100575431623626	0.3658225166581052	0.2969733569826035	0.27784078826114694	0.31823239834289746	0.3184883220003596	0.2645481792674024
